ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20120827,40.6853,40.8248,38.6929,38.7228,40.7152,-1.9924000000000035,-4.8935,245566.84,971097.972,0.5704,1.79,15.7998,14.8813,2.0966,1.2362,1.1041,1.38,1.03,791614.2092,478640.9636,430505.0085,30770044.3116,18604774.2551
601318.SH,20120824,40.9941,41.1834,40.5757,40.7152,40.8746,-0.159399999999998,-0.39,118785.32,486505.159,0.2759,0.84,16.6127,15.647,2.2045,1.2998,1.1609,1.31,0.98,791614.2092,478640.9636,430505.0085,32353272.73,19562056.1823
601318.SH,20120823,40.7451,41.0639,40.4562,40.8746,40.7351,0.13949999999999818,0.3425,144523.94,592813.418,0.4045,1.11,16.6778,16.4664,2.3439,1.3049,1.242,1.31,0.97,791614.2092,478640.9636,357314.1123,32479931.0035,19638638.7365
601318.SH,20120822,40.9244,41.2432,40.2868,40.7351,40.9045,-0.169399999999996,-0.4141,146413.64,595758.471,0.4098,1.19,16.6208,16.4102,2.3359,1.3004,1.2378,1.31,0.98,791614.2092,478640.9636,357314.1123,32369105.0142,19571629.0016
601318.SH,20120821,41.0439,41.6516,40.6654,40.9045,40.9842,-0.07970000000000255,-0.1945,148397.04,612357.737,0.4153,1.04,16.69,16.4784,2.3456,1.3058,1.243,1.31,0.97,791614.2092,478640.9636,357314.1123,32503679.4298,19652997.9654
601318.SH,20120820,40.9443,41.2432,40.247,40.9842,41.4623,-0.47809999999999775,-1.1531,127159.13,518433.947,0.3559,0.64,16.7225,16.5105,2.3501,1.3084,1.2454,1.3,0.97,791614.2092,478640.9636,357314.1123,32567008.5665,19691289.2425
601318.SH,20120817,41.293,41.542,40.8447,41.4623,41.3627,0.09960000000000235,0.2408,142502.08,588279.241,0.3988,0.72,16.9176,16.7032,2.3776,1.3236,1.2599,1.29,0.96,791614.2092,478640.9636,357314.1123,32946983.3869,19921036.905
601318.SH,20120816,41.3428,41.6417,41.0938,41.3627,41.3727,-0.010000000000005116,-0.0242,84905.82,353044.801,0.2376,0.4,16.8769,16.663,2.3718,1.3204,1.2569,1.29,0.96,791614.2092,478640.9636,357314.1123,32867821.966,19873172.8087
601318.SH,20120815,41.4424,41.7911,41.2432,41.3727,41.4424,-0.06969999999999743,-0.1682,111921.88,466583.51,0.3132,0.52,16.881,16.667,2.3724,1.3208,1.2572,1.29,0.96,791614.2092,478640.9636,357314.1123,32875738.1081,19877959.2183
601318.SH,20120814,41.7612,41.9405,40.765,41.4424,41.7612,-0.3188000000000031,-0.7634,245762.29,1016208.128,0.6878,1.23,16.9094,16.6951,2.3764,1.323,1.2593,1.29,0.96,791614.2092,478640.9636,357314.1123,32931151.1027,19911464.0858
601318.SH,20120813,44.6203,44.6303,41.4922,41.7612,44.6702,-2.908999999999999,-6.5122,414447.05,1780966.72,1.1599,2.82,17.0395,16.8236,2.3947,1.3332,1.269,1.28,0.95,791614.2092,478640.9636,357314.1123,33184467.6497,20064629.1941
601318.SH,20120810,44.3314,45.0985,44.3314,44.6702,44.4908,0.17940000000000111,0.4032,137099.96,616938.583,0.3837,0.83,18.2264,17.9954,2.5615,1.426,1.3574,1.2,0.89,791614.2092,478640.9636,357314.1123,35495981.1405,21462260.8078
